id,company,title,date,url,description,topics,source_name,discovered_at,last_seen_at,published_at_source,description_source,observation_mode,topic_method
097f00bd91c61706,Deloitte,What’s happening this week in economics?,2026-08-19,https://www.deloitte.com/us/en/insights/topics/economy/global-economic-outlook/weekly-update.html,Deloitte’s team of economists examines news and trends from around the world.,Economics,Deloitte Insights,2026-08-08T17:09:53Z,2026-08-21T02:37:11Z,jsonld:datePublished,meta,direct-article,keyword-v2
452a85a4c8a0358b,BCG,Powering AI Through Grid-Positive Data Centers,2026-08-18,https://www.bcg.com/publications/2026/powering-ai-through-grid-positive-data-centers,"Data centers are one of the fastest-growing sources of new demand on power grids, creating pressure on the energy system.",AI|Energy|Data Center,BCG Publications,2026-08-18T02:30:35Z,2026-08-18T02:30:35Z,reader-near-link,reader-card,reader-fallback,keyword-v2
f67e3531ca3e50d2,BCG,Enterprise AI Control Plane: The CIO’s Guide to Governing and Accelerating AI Agents,2026-08-14,https://www.bcg.com/publications/2026/how-cios-govern-ai-agents-at-scale,"AI agents are scaling faster than enterprise governance, making centralized control critical for organizations seeking to accelerate AI adoption without increasing risk.",AI,BCG Publications,2026-08-14T20:25:05Z,2026-08-16T06:18:23Z,reader-near-link,reader-card,reader-fallback,keyword-v2
b2410c38496bdd14,BCG,How CEOs Should Manage Escalating Cybersecurity Risks in the Age of AI,2026-08-14,https://www.bcg.com/publications/2026/how-ceos-manage-ai-cybersecurity-risks,"As AI expands current and future threat levels, cross-functional ownership of cybersecurity is essential. CEOs are uniquely positioned to lead that effort.",AI,BCG Publications,2026-08-14T20:25:05Z,2026-08-16T06:18:23Z,reader-near-link,reader-card,reader-fallback,keyword-v2
b23ad749503a9913,BCG,Making Tech-Industry Partnerships Work in the Agentic Era,2026-08-14,https://www.bcg.com/publications/2026/how-executives-fix-failing-tech-ai-partnerships,"Agentic AI raises the stakes for tech-industry partnerships, yet success rates remain poor. To improve the odds, company leaders should select the right archetype and avoid six common pitfalls.",AI,BCG Publications,2026-08-14T20:25:05Z,2026-08-16T06:18:23Z,reader-near-link,reader-card,reader-fallback,keyword-v2
16775921a5bedece,BCG,The Next-Gen Strategist in the Age of AI,2026-08-13,https://www.bcg.com/publications/2026/how-strategy-leaders-adapt-to-ai,"As AI commoditizes analytical thinking, strategists must foster new modes of thinking—and select the right one to tackle the challenges faced by their firm.",AI,BCG Publications,2026-08-14T04:04:54Z,2026-08-16T06:18:23Z,reader-near-link,reader-card,reader-fallback,keyword-v2
39f0a96642dffeef,BCG,What CEOs Should Know About China’s Business Ambitions,2026-08-13,https://www.bcg.com/publications/2026/chinas-15th-five-year-plan-ceos,The 15th Five-Year Plan reveals the country’s economic goals. We highlight those ambitions and the constraints on achieving them.,Economics,BCG Publications,2026-08-14T04:04:54Z,2026-08-16T06:18:23Z,reader-near-link,reader-card,reader-fallback,keyword-v2
2ebd55010827a52f,BCG,Who Will Win as AI Rewrites Competitive Advantage?,2026-08-13,https://www.bcg.com/publications/2026/which-companies-capture-value-from-ai,"AI is driving a historic reallocation of capital and a shift in profit pools, forcing leaders to rethink where defensible returns will come from.",AI|Strategy,BCG Publications,2026-08-14T04:04:54Z,2026-08-16T06:18:23Z,reader-near-link,reader-card,reader-fallback,keyword-v2
8170d5288ded54a3,BCG,"Consumer Spending in Canada Is Shifting, Just Not How You’d Expect",2026-08-12,https://www.bcg.com/publications/2026/consumer-spending-in-canada-is-shifting-just-not-how-you-expect,"As household budgets tighten, retail categories are starting to pull apart. The retailers that recognize those shifts first will be best positioned to grow.",,BCG Publications,2026-08-14T04:04:54Z,2026-08-14T04:04:54Z,,,,
57e2a39398649fab,Deloitte,State of the US Consumer: July–August 2026,2026-08-11,https://www.deloitte.com/us/en/insights/topics/economy/consumer-pulse/state-of-the-us-consumer.html,"Gas price expectations are cooling, while consumer financial well-being remains firm",,Deloitte Insights,2026-08-19T02:32:43Z,2026-08-19T02:32:43Z,jsonld:datePublished,meta,direct-article,keyword-v2
